area_cineunesco,carrera_estandar,cohorte_2005_a,cohorte_2006_a,cuarto_ano,duracion_esperada_del_plan_de_estudios_semestres,duracion_real_de_la_carrera_semestres,emplea_1_2015,emplea_1_2016,emplea_1_2017,emplea_1_2018,emplea_1_2019,emplea_2_2015,emplea_2_2016,emplea_2_2017,emplea_2_2018,emplea_2_2019,es_tecnico,estudiantes_adm_delegada_matricula,estudiantes_establecimientos_municipales_matricula_2011,estudiantes_particular_pagado_matricula_2011,estudiantes_particular_subvencionado_matricula_2011,id_api,id_area_cineunesco,id_estadisticas,id_tipo_institucion,ingreso_ano_1,ingreso_ano_10,ingreso_ano_2,ingreso_ano_3,ingreso_ano_4,ingreso_ano_5,ingreso_ano_6,ingreso_ano_7,ingreso_ano_8,ingreso_ano_9,ingresos_4_2015,ingresos_4_2016,ingresos_4_2017,ingresos_4_2018,ingresos_4_2019,matricula_de_1er_ano_2011,matricula_femenina_1er_ano_2011,matricula_femenina_2011,matricula_masculina_1er_ano_2011,matricula_masculina_2011,matricula_total_2011,mayor_a_1000000_a_1500000,mayor_a_1500000_a_2000000,mayor_a_2000000_a_2500000,mayor_a_2500000_a_3000000,mayor_a_3000000,mayor_a_500000_a_1000000,menor_a_500000,n_de_titulados_2010,n_de_titulados_femenino_2010,n_de_titulados_masculino_2010,percentil10_a,percentil10_b,percentil25_a,percentil25_b,percentil50_a,percentil50_b,percentil75_a,percentil75_b,percentil90_a,percentil90_b,primer_ano,quinto_ano,segundo_ano,tasa_de_retencion_1er_ano_cohorte_2009,tasa_de_retencion_2do_ano_cohorte_2009,tercer_ano,tipo_institucion
Tecnología,Técnico en Administración de Redes y Soporte,0.870,0.855,1256914,4.60,5.90,0.694,0.814,0.857,0.871,0.887,0.762,0.783,0.888,0.825,0.841,1,67.00000,502.00000,67.00000,730.00000,94,10,94,2,,,,,,,,,,,1203291.000,1138343.000,1180946.000,1201542.000,1431821.000,786,105,240,681,1603,1843,0,0,0,0,0,0,0,226,20,206,702578,665776,914994,815657,1238498,1073078,1847983,1486041,2798557,1998440,1428587,1275605,1344987,0.593,,1269000,Instituto Profesional
Administración y Comercio,Técnico en Administración Financiera y Finanzas,0.681,0.733,1328102,4.90,7.10,0.638,0.651,0.667,0.676,0.710,0.692,0.718,0.771,0.700,0.731,1,16.00000,59.00000,10.00000,92.00000,95,1,95,2,,,,,,,,,,,1361607.000,1371366.000,1289008.000,1339562.000,1359103.000,65,32,124,33,106,230,0,0,0,0,0,0,0,375,217,158,651292,690868,792381,889794,1101577,1235779,1516578,1742697,2062042,2418069,1142852,1405635,1166197,0.786,,1251267,Instituto Profesional
Ciencias Sociales,Técnico en Administración Pública o Municipal,0.830,0.876,1393303,4.70,6.10,0.955,0.904,0.863,0.811,0.825,0.977,0.970,0.954,0.898,0.826,1,52.00000,603.00000,25.00000,597.00000,96,5,96,2,,,,,,,,,,,1717793.000,1569351.000,1368861.000,1330848.000,1468248.000,794,512,1298,282,684,1982,0,0,0,0,0,0,0,662,409,253,650800,833116,793072,1050421,1049916,1314717,1393070,1621545,1894081,1995339,1186688,1483963,1237706,0.649,,1319697,Instituto Profesional
Tecnología,Técnico en Alimentos,0.630,0.730,994952,,,0.512,0.556,0.672,0.613,0.567,0.742,0.674,0.714,0.745,0.719,1,2.00000,27.00000,0.00000,43.00000,97,10,97,2,,,,,,,,,,,,,,,,27,22,60,5,22,82,0,0,0,0,0,0,0,26,20,6,579311,555423,661546,692334,760734,916700,812234,1065664,935129,1401017,813429,1011435,879874,0.759,,930326,Instituto Profesional
Administración y Comercio,Técnico en Comercio Exterior,0.783,0.826,1206806,4.70,6.20,0.674,0.790,0.839,0.749,0.758,0.780,0.731,0.851,0.819,0.800,1,65.00000,366.00000,63.00000,697.00000,98,1,98,2,,,,,,,,,,,1245850.000,1258791.000,1249421.000,1136408.000,1213898.000,648,377,787,271,684,1471,0,0,0,0,0,0,0,376,215,161,605982,663182,726117,854966,933060,1082405,1262424,1415283,1697122,1785443,1087014,1279363,1155991,0.713,,1186898,Instituto Profesional
Tecnología,Técnico en Computación e Informática,0.739,0.809,1596835,4.90,6.40,0.712,0.762,0.762,0.762,0.702,0.753,0.819,0.841,0.814,0.786,1,320.00000,2269.00000,434.00000,4208.00000,99,10,99,2,,,,,,,,,,,1399844.000,1515128.000,1580868.000,1560085.000,1662982.000,2975,582,1516,2393,6864,8380,0,0,0,0,0,0,0,1778,262,1516,630113,692923,768772,912857,1036292,1373916,1455331,2066783,2112876,3031824,1279538,1678572,1405141,0.691,,1532528,Instituto Profesional
Arte y Arquitectura,Técnico en Comunicación Audiovisual,0.419,0.477,929648,5.00,6.40,0.266,0.440,0.452,0.373,0.416,0.443,0.419,0.558,0.451,0.447,1,22.00000,135.00000,77.00000,306.00000,100,3,100,2,,,,,,,,,,,872096.000,853004.000,977557.000,827188.000,973319.000,212,57,154,155,432,586,0,0,0,0,0,0,0,159,44,115,543746,559693,603854,650509,735667,805160,981384,1024502,1520230,1261851,840693,923032,865595,0.722,,871516,Instituto Profesional
Tecnología,Técnico en Construcción y Obras Civiles,0.682,0.697,1219046,4.90,6.40,0.545,0.685,0.715,0.677,0.643,0.596,0.657,0.718,0.705,0.665,1,244.00000,1405.00000,79.00000,1584.00000,101,10,101,2,,,,,,,,,,,1108783.000,1250736.000,1224227.000,1159516.000,1285207.000,1927,227,500,1700,3839,4339,0,0,0,0,0,0,0,1199,198,1001,600240,603211,732825,755888,986828,1059423,1379131,1492413,1980692,2023092,1153411,1266828,1189421,0.608,,1190436,Instituto Profesional
Administración y Comercio,Técnico en Contabilidad General,0.711,0.784,1321030,4.90,6.50,0.660,0.690,0.708,0.718,0.707,0.734,0.729,0.798,0.789,0.767,1,184.00000,1330.00000,84.00000,1710.00000,102,1,102,2,,,,,,,,,,,1257783.000,1386304.000,1341287.000,1291389.000,1329231.000,1838,1242,3264,596,1499,4763,0,0,0,0,0,0,0,1703,1182,521,600207,668523,733802,843800,942116,1143800,1270137,1601553,1948189,2214721,1170322,1397000,1192039,0.689,,1252254,Instituto Profesional
Educación,"Técnico en Deporte, Recreación y Preparación Física",0.403,0.457,936553,5.00,6.20,0.276,0.326,0.428,0.397,0.381,0.331,0.438,0.435,0.463,0.468,1,171.00000,1243.00000,165.00000,2272.00000,103,7,103,2,,,,,,,,,,,889389.000,916864.000,902289.000,976964.000,920603.000,1639,328,846,1311,3250,4096,0,0,0,0,0,0,0,792,171,621,549662,574031,637342,651421,767136,823741,999957,1105486,1433517,1538399,907603,965468,891661,0.718,,895023,Instituto Profesional
Arte y Arquitectura,Técnico en Dibujo Arquitectónico,0.589,0.704,1046251,5.00,6.50,0.558,0.588,0.645,0.571,0.545,0.681,0.620,0.733,0.702,0.677,1,62.00000,204.00000,27.00000,412.00000,104,3,104,2,,,,,,,,,,,987165.000,1002593.000,1042918.000,1047202.000,1050227.000,246,89,280,157,482,762,0,0,0,0,0,0,0,225,86,139,579984,619614,661608,756989,819057,980246,1011226,1299422,1262324,2001322,849612,1140109,903011,0.723,,987150,Instituto Profesional
