area_cineunesco,carrera_estandar,cohorte_2005_a,cohorte_2006_a,cuarto_ano,duracion_esperada_del_plan_de_estudios_semestres,duracion_real_de_la_carrera_semestres,emplea_1_2015,emplea_1_2016,emplea_1_2017,emplea_1_2018,emplea_1_2019,emplea_2_2015,emplea_2_2016,emplea_2_2017,emplea_2_2018,emplea_2_2019,es_tecnico,estudiantes_adm_delegada_matricula,estudiantes_establecimientos_municipales_matricula_2011,estudiantes_particular_pagado_matricula_2011,estudiantes_particular_subvencionado_matricula_2011,id_api,id_area_cineunesco,id_estadisticas,id_tipo_institucion,ingreso_ano_1,ingreso_ano_10,ingreso_ano_2,ingreso_ano_3,ingreso_ano_4,ingreso_ano_5,ingreso_ano_6,ingreso_ano_7,ingreso_ano_8,ingreso_ano_9,ingresos_4_2015,ingresos_4_2016,ingresos_4_2017,ingresos_4_2018,ingresos_4_2019,matricula_de_1er_ano_2011,matricula_femenina_1er_ano_2011,matricula_femenina_2011,matricula_masculina_1er_ano_2011,matricula_masculina_2011,matricula_total_2011,mayor_a_1000000_a_1500000,mayor_a_1500000_a_2000000,mayor_a_2000000_a_2500000,mayor_a_2500000_a_3000000,mayor_a_3000000,mayor_a_500000_a_1000000,menor_a_500000,n_de_titulados_2010,n_de_titulados_femenino_2010,n_de_titulados_masculino_2010,percentil10_a,percentil10_b,percentil25_a,percentil25_b,percentil50_a,percentil50_b,percentil75_a,percentil75_b,percentil90_a,percentil90_b,primer_ano,quinto_ano,segundo_ano,tasa_de_retencion_1er_ano_cohorte_2009,tasa_de_retencion_2do_ano_cohorte_2009,tercer_ano,tipo_institucion
Educación,"Pedagogía en Historia, Geografía y Ciencias Sociales",0.738,0.820,1129321,9.80,11.80,0.575,0.571,0.753,0.740,0.724,0.723,0.718,0.825,0.814,0.823,0,63.00000,1056.00000,136.00000,1753.00000,214,7,214,3,,,,,,,,,,,1149980.000,1195076.000,1091910.000,1143990.000,1158300.000,672,300,1322,372,1722,3044,0,0,0,0,0,0,0,532,244,288,603409,697023,741471,941586,918188,1200492,1104919,1402763,1265211,1607508,920023,1192398,1030890,0.852,0.770,1076437,Universidad
Educación,Pedagogía en Idiomas,0.631,0.745,1074271,9.70,11.60,0.551,0.542,0.673,0.639,0.577,0.696,0.693,0.760,0.757,0.718,0,191.00000,2657.00000,455.00000,4670.00000,215,7,215,3,,,,,,,,,,,1106763.000,1112708.000,1043964.000,1072729.000,1109242.000,1808,1218,5340,590,2750,8091,0,0,0,0,0,0,0,989,686,303,571797,652886,676052,844850,854965,1105102,1040563,1327489,1236245,1563402,882696,1122627,997130,0.840,0.754,1046305,Universidad
Educación,"Pedagogía en Lenguaje, Comunicación y/o Castellano",0.833,0.867,1200218,9.80,11.30,0.755,0.787,0.872,0.843,0.794,0.867,0.888,0.880,0.857,0.868,0,115.00000,1695.00000,152.00000,2414.00000,216,7,216,3,,,,,,,,,,,1255043.000,1282045.000,1211002.000,1190594.000,1201774.000,1085,734,3011,351,1415,4427,0,0,0,0,0,0,0,749,533,216,642521,806923,831105,1052812,986726,1255271,1155649,1418514,1293315,1574730,982285,1253572,1112045,0.866,0.779,1159678,Universidad
Educación,Pedagogía en Matemáticas y Computación,0.913,0.948,1296180,9.70,11.80,0.873,0.943,0.924,0.919,0.901,0.929,0.927,0.956,0.952,0.940,0,67.00000,1048.00000,171.00000,1800.00000,217,7,217,3,,,,,,,,,,,1342158.000,1298454.000,1292194.000,1289568.000,1309993.000,691,336,1459,355,1665,3124,0,0,0,0,0,0,0,597,291,306,765089,950538,929156,1152450,1077437,1331950,1270921,1502193,1477121,1772476,1098076,1331942,1207960,0.827,0.722,1264004,Universidad
Ciencias Sociales,Periodismo,0.696,0.787,1436817,9.40,11.40,0.613,0.683,0.751,0.706,0.625,0.743,0.784,0.814,0.812,0.747,0,85.00000,1420.00000,1899.00000,3898.00000,218,5,218,3,,,,,,,,,,,1439495.000,1438661.000,1436367.000,1423433.000,1450562.000,1486,860,3931,626,3619,7550,0,0,0,0,0,0,0,1386,771,615,619514,790724,752193,1012991,951234,1375090,1195985,1808259,1626340,2279027,1033450,1512510,1183215,0.874,0.819,1312880,Universidad
Educación,Programas de Formación Pedagógica,0.844,0.870,1430797,,,0.786,0.807,0.847,0.834,0.851,0.839,0.835,0.886,0.867,0.857,0,7.00000,209.00000,186.00000,363.00000,219,7,219,3,,,,,,,,,,,1482389.000,1533348.000,1435196.000,1373787.000,1474099.000,24,19,521,5,411,932,0,0,0,0,0,0,0,353,183,170,698689,767347,882786,1052641,1096108,1315985,1414089,1608843,1783090,2059799,1208865,1473719,1306701,,,1353378,Universidad
Ciencias Sociales,Psicología,0.616,0.779,1303331,10.10,11.50,0.508,0.585,0.661,0.628,0.562,0.731,0.758,0.795,0.780,0.766,0,1081.00000,13780.00000,8391.00000,28479.00000,220,5,220,3,,,,,,,,,,,1325026.000,1380982.000,1322069.000,1304071.000,1281635.000,11559,8138,40283,3421,16264,56549,0,0,0,0,0,0,0,6775,4926,1849,582564,754017,692846,983535,880598,1220001,1141264,1568857,1504984,2066010,998896,1395488,1113651,0.870,0.820,1203197,Universidad
Educación,Psicopedagogía,0.588,0.689,982331,8.00,10.70,0.298,0.348,0.575,0.583,0.622,0.628,0.456,0.641,0.699,0.730,0,6.00000,63.00000,56.00000,146.00000,221,7,221,3,,,,,,,,,,,1088532.000,1035995.000,990983.000,941981.000,997885.000,99,91,278,8,26,304,0,0,0,0,0,0,0,134,128,6,564216,624906,649544,773136,804520,999965,978809,1187169,1204880,1357999,804858,1051360,907243,0.733,0.640,914488,Universidad
Ciencias Sociales,Publicidad,0.730,0.818,1480918,8.40,9.60,0.589,0.759,0.758,0.773,0.665,0.737,0.765,0.833,0.796,0.830,0,58.00000,415.00000,954.00000,1531.00000,222,5,222,3,,,,,,,,,,,1410626.000,1514060.000,1472052.000,1496335.000,1478464.000,759,531,1981,228,1036,3017,0,0,0,0,0,0,0,496,274,222,594724,817774,692086,1079748,842046,1402994,1004894,1974360,1287948,2510107,938258,1634165,1178040,0.887,0.856,1308094,Universidad
Salud,Química y Farmacia,0.985,0.984,2368256,10.80,14.20,0.971,0.997,0.987,0.988,0.981,0.962,0.976,0.990,0.987,0.979,0,149.00000,3230.00000,1288.00000,7030.00000,223,9,223,3,,,,,,,,,,,2304856.000,2480451.000,2387580.000,2322358.000,2407808.000,2946,1811,7150,1135,4692,11842,0,0,0,0,0,0,0,1048,622,426,1306484,1588982,1656171,1991721,2010767,2351271,2332290,2795830,2690122,3270968,2011053,2463865,2193169,0.885,0.830,2273158,Universidad
Ciencias Básicas,"Química, Licenciado en Química",0.614,0.663,1545659,10.10,14.70,,,,,,,,,,,0,11.00000,249.00000,163.00000,524.00000,224,4,224,3,,,,,,,,,,,,,,,,227,121,450,106,510,960,0,0,0,0,0,0,0,115,53,62,595597,547414,803992,982374,963527,1378155,1212955,2046980,1745045,2405001,1052323,1488644,1232129,0.766,0.645,1427857,Universidad
Arte y Arquitectura,Realizador de Cine y Televisión,0.482,0.553,1160556,9.10,12.10,0.423,0.355,0.454,0.545,0.433,0.391,0.525,0.452,0.568,0.559,0,15.00000,285.00000,445.00000,691.00000,225,3,225,3,,,,,,,,,,,,,,,,360,190,701,170,761,1462,0,0,0,0,0,0,0,205,101,104,574528,675004,673448,868909,845991,1107159,1159996,1363525,1776105,1784641,1110015,1064589,1250959,0.888,0.825,1143405,Universidad
Ciencias Sociales,Relaciones Públicas,0.590,0.641,1400349,8.00,10.00,0.489,0.508,0.573,0.604,0.613,0.670,0.804,0.594,0.675,0.625,0,4.00000,28.00000,5.00000,44.00000,226,5,226,3,,,,,,,,,,,1434990.000,1590352.000,1488533.000,1149502.000,1460207.000,36,25,82,11,42,124,0,0,0,0,0,0,0,44,28,16,562885,635146,719737,881911,920922,1120948,1268758,1507654,2638503,1911377,1116547,1589757,1212554,,0.611,1197937,Universidad
Ciencias Sociales,Sociología,0.623,0.748,1417500,9.80,13.00,0.453,0.508,0.633,0.655,0.583,0.629,0.674,0.705,0.803,0.730,0,22.00000,594.00000,572.00000,1205.00000,227,5,227,3,,,,,,,,,,,1537274.000,1423858.000,1426683.000,1403641.000,1425350.000,493,255,1322,238,1133,2455,0,0,0,0,0,0,0,479,236,243,594071,727900,666243,1031365,920923,1365715,1292391,1927079,1818238,2472635,1089621,1581982,1200016,0.743,0.662,1312597,Universidad
Agropecuaria,Técnico Agropecuario,0.503,0.566,1044643,4.80,5.50,0.375,0.487,0.462,0.548,0.480,0.532,0.610,0.568,0.529,0.595,0,33.00000,255.00000,8.00000,219.00000,228,2,228,3,,,,,,,,,,,,,,,,268,120,252,148,320,572,0,0,0,0,0,0,0,127,58,69,552634,601030,598435,701076,809652,951407,1381650,1279252,2052346,1701865,898001,1192596,911457,0.718,,878167,Universidad
Educación,Técnico Asistente del Educador de Párvulos,0.258,0.343,709798,4.40,4.90,0.260,0.195,0.216,0.333,0.222,0.368,0.306,0.323,0.330,0.375,0,24.00000,682.00000,6.00000,542.00000,229,7,229,3,,,,,,,,,,,868525.000,886966.000,689082.000,714777.000,731457.000,731,725,1368,6,7,1375,0,0,0,0,0,0,0,499,499,0,516049,559265,544663,606137,628561,709585,774280,864606,993836,1014502,665022,830643,690092,0.737,,676213,Universidad
Administración y Comercio,Técnico en Administración de Empresas,0.652,0.678,1235089,4.40,5.30,0.600,0.611,0.631,0.679,0.652,0.650,0.680,0.680,0.650,0.713,0,92.00000,1152.00000,138.00000,1171.00000,230,1,230,3,,,,,,,,,,,1403177.000,1523821.000,1197106.000,1225642.000,1278569.000,1410,854,1811,556,1247,3058,0,0,0,0,0,0,0,1089,686,403,593046,628944,733506,783983,981055,1061531,1442038,1502847,2012629,2140618,1181470,1371053,1178866,0.693,,1211994,Universidad
Administración y Comercio,Técnico en Administración de Recursos Humanos y Personal,0.627,0.722,1159685,4.50,5.90,0.589,0.720,0.658,0.609,0.600,0.645,0.678,0.758,0.748,0.642,0,10.00000,77.00000,5.00000,104.00000,231,1,231,3,,,,,,,,,,,1282044.000,1677767.000,1149832.000,1263435.000,1075866.000,142,105,204,37,58,262,0,0,0,0,0,0,0,48,36,12,619535,596688,668024,775268,766339,1078498,1100713,1327385,1485066,2076565,915050,1336107,953719,0.787,,1065070,Universidad
Tecnología,Técnico en Alimentos,0.596,0.660,1157821,4.90,5.70,0.700,0.703,0.610,0.600,0.571,0.793,0.767,0.661,0.650,0.667,0,1.00000,67.00000,1.00000,73.00000,232,10,232,3,,,,,,,,,,,,,,,,65,25,81,40,88,169,0,0,0,0,0,0,0,69,50,19,565577,762599,733201,845722,835223,1074736,989932,1439029,1272496,1798801,849287,1196365,969839,0.643,,1047249,Universidad
Administración y Comercio,Técnico en Comercio Exterior,0.600,0.716,1239708,,,,,,,,,,,,,0,13.00000,44.00000,1.00000,56.00000,233,1,233,3,,,,,,,,,,,,,,,,71,54,113,17,45,158,0,0,0,0,0,0,0,23,14,9,626661,633019,758780,725589,883815,1063962,1084581,1407874,1409634,2467167,1018824,1379175,1046078,0.660,,1204037,Universidad
Tecnología,Técnico en Computación e Informática,0.514,0.651,1530977,4.50,6.20,0.620,0.636,0.611,0.458,0.490,0.648,0.761,0.759,0.729,0.555,0,30.00000,362.00000,32.00000,514.00000,234,10,234,3,,,,,,,,,,,1424292.000,1254168.000,1436377.000,1689459.000,1400954.000,464,66,133,398,868,1001,0,0,0,0,0,0,0,169,22,147,549916,781105,661482,995890,824007,1539282,1145993,2155285,1388346,2898013,1026888,1559338,1137238,0.706,,1353013,Universidad
Tecnología,Técnico en Construcción y Obras Civiles,0.541,0.551,1119073,4.50,6.00,0.490,0.455,0.556,0.495,0.563,0.537,0.655,0.487,0.610,0.545,0,67.00000,364.00000,19.00000,346.00000,235,10,235,3,,,,,,,,,,,1071919.000,1177688.000,1171576.000,1136335.000,1025370.000,356,47,144,309,747,891,0,0,0,0,0,0,0,364,62,302,554760,591692,665973,798688,845287,1114979,1241655,1489770,1757174,2045680,1007196,1243546,981459,0.665,,1065488,Universidad
Educación,"Técnico en Deporte, Recreación y Preparación Física",0.321,0.401,845499,4.90,6.20,0.278,0.310,0.356,0.309,0.295,0.270,0.395,0.395,0.415,0.394,0,26.00000,307.00000,11.00000,354.00000,236,7,236,3,,,,,,,,,,,731862.000,809113.000,858208.000,873428.000,782298.000,282,79,199,203,549,748,0,0,0,0,0,0,0,192,41,151,520747,564381,580280,637171,653207,778300,789415,1070697,1135776,1435079,760202,909422,791577,0.713,,840927,Universidad
Tecnología,Técnico en Electricidad y Electricidad Industrial,0.754,0.810,1678712,4.30,5.80,0.685,0.845,0.710,0.790,0.743,0.705,0.861,0.832,0.809,0.798,0,83.00000,356.00000,9.00000,398.00000,237,10,237,3,,,,,,,,,,,1703598.000,1655804.000,1516111.000,1598857.000,1987869.000,373,28,70,345,830,900,0,0,0,0,0,0,0,284,11,273,640026,856853,774294,1089748,1052415,1474971,1749722,2097916,2438427,3132660,1275913,1872410,1322879,0.666,,1427659,Universidad
Tecnología,Técnico en Electrónica y Electrónica Industrial,0.660,0.853,1433438,4.10,7.30,0.744,0.677,0.607,0.732,0.613,0.684,0.825,0.938,0.962,0.727,0,21.00000,46.00000,9.00000,105.00000,238,10,238,3,,,,,,,,,,,,,,,,73,10,16,63,166,182,0,0,0,0,0,0,0,38,1,37,549050,702880,641687,1022966,914610,1465397,1234945,1893482,1911558,3283525,1015005,1668405,1145473,0.511,,1281164,Universidad
Salud,Técnico en Enfermería,0.633,0.704,902883,5.00,5.90,0.617,0.752,0.704,0.638,0.559,0.742,0.805,0.796,0.692,0.688,0,79.00000,1273.00000,24.00000,1114.00000,239,9,239,3,,,,,,,,,,,830834.000,899231.000,924638.000,859359.000,926450.000,1072,879,2313,193,497,2810,0,0,0,0,0,0,0,781,636,145,553767,627145,636252,721530,792044,892793,952006,1041492,1168710,1187093,857605,912647,897281,0.685,,902421,Universidad
Tecnología,"Técnico en Instrumentación, Automatización y Control Industrial",0.686,0.748,1522832,4.20,6.70,0.671,0.675,0.661,0.726,0.655,0.677,0.815,0.826,0.667,0.758,0,21.00000,189.00000,4.00000,195.00000,240,10,240,3,,,,,,,,,,,1408371.000,1767907.000,1320855.000,1621086.000,1609088.000,215,39,63,176,378,441,0,0,0,0,0,0,0,128,18,110,719476,717085,858501,941909,1129019,1326021,1559362,2127620,2206871,3097801,1422718,1696209,1486492,0.656,,1534573,Universidad
Administración y Comercio,Técnico en Logística,0.524,0.585,1024596,4.10,4.80,0.459,0.455,0.540,0.500,0.523,0.690,0.551,0.570,0.614,0.564,0,26.00000,256.00000,13.00000,226.00000,241,1,241,3,,,,,,,,,,,1354804.000,1062497.000,1137328.000,966057.000,958280.000,374,157,273,217,352,625,0,0,0,0,0,0,0,166,87,79,538336,587137,639318,662929,751640,867822,946205,1164476,1584679,1935531,893643,1165585,875266,0.781,,945270,Universidad
Tecnología,Técnico en Mantenimiento Industrial,0.796,0.895,1907999,4.20,6.80,0.824,0.848,0.865,0.768,0.771,0.791,0.871,0.910,0.963,0.839,0,85.00000,151.00000,36.00000,331.00000,242,10,242,3,,,,,,,,,,,2051657.000,1806769.000,1938450.000,2009284.000,1706924.000,276,48,90,228,536,626,0,0,0,0,0,0,0,192,13,179,642921,969417,776335,1210866,1152449,1877042,1639854,3080229,3041802,4274820,1524769,2171364,1575226,0.663,,2043118,Universidad
Tecnología,Técnico en Mecánica Automotriz,0.537,0.695,1302224,4.10,6.50,0.533,0.469,0.545,0.500,0.571,0.655,0.638,0.787,0.608,0.696,0,40.00000,61.00000,16.00000,215.00000,243,10,243,3,,,,,,,,,,,,,,,,161,7,15,154,319,334,0,0,0,0,0,0,0,76,2,74,594800,580278,751401,808170,910079,1175486,1157899,1742334,1419521,2632229,970558,1379239,1007852,0.658,,1186039,Universidad
Tecnología,Técnico en Mecánica Industrial,0.771,0.827,1974698,4.20,5.90,0.742,0.808,0.809,0.692,0.824,0.750,0.838,0.884,0.777,0.792,0,55.00000,281.00000,3.00000,223.00000,244,10,244,3,,,,,,,,,,,2114008.000,2100335.000,1714320.000,1979966.000,2194236.000,307,22,48,285,543,591,0,0,0,0,0,0,0,157,14,143,781179,793694,1025220,1034589,1608802,1797745,2639617,2483748,3896023,4495917,1621000,2040318,1657622,0.579,,1817083,Universidad
Tecnología,Técnico en Metalurgia,0.767,0.823,1793507,4.10,6.00,0.614,0.667,0.766,0.795,0.711,0.650,0.841,0.756,0.823,0.856,0,0.00000,173.00000,1.00000,76.00000,245,10,245,3,,,,,,,,,,,2754863.000,2799899.000,1582721.000,1794636.000,2344493.000,136,62,121,74,154,275,0,0,0,0,0,0,0,76,29,47,695113,842157,1003503,1085077,1219469,1634654,2006072,3523237,3383455,5823613,1728942,2023460,1902124,0.768,,2089290,Universidad
Tecnología,Técnico en Minería,0.688,0.724,1987119,4.40,6.90,0.673,0.668,0.690,0.651,0.724,0.707,0.714,0.764,0.704,0.689,0,36.00000,280.00000,19.00000,272.00000,246,10,246,3,,,,,,,,,,,1977193.000,1934972.000,2076107.000,1824845.000,1993839.000,315,115,223,200,415,638,0,0,0,0,0,0,0,196,51,145,613527,770562,736837,1082096,1041029,1429847,1718160,2501615,3222247,4362403,1458222,2130267,1628334,0.721,,1715876,Universidad
Ciencias Sociales,Técnico en Prevención y Rehabilitación,0.634,0.561,951145,,,0.636,0.667,0.563,0.676,0.683,0.718,0.643,0.521,0.578,0.600,0,,,,,247,5,247,3,,,,,,,,,,,1037587.000,1345177.000,989808.000,954390.000,850744.000,0,0,0,0,0,0,0,0,0,0,0,0,0,61,28,33,522883,636121,600196,678317,735019,884547,1150416,1198996,2003099,1628362,1074218,1179918,1048962,,,958997,Universidad
Ciencias Básicas,Técnico en Química (Análisis e Industrial),0.734,0.794,1128037,5.20,8.10,0.625,0.690,0.835,0.643,0.702,0.747,0.861,0.829,0.837,0.728,0,9.00000,59.00000,6.00000,103.00000,248,4,248,3,,,,,,,,,,,1136411.000,1130224.000,1163664.000,1102706.000,1105071.000,85,38,92,47,96,188,0,0,0,0,0,0,0,49,29,20,611454,741178,697108,924419,829114,1176096,1006864,1426183,1099021,1722796,881446,1250002,1026450,0.714,,1068354,Universidad
Salud,Tecnología Médica,0.714,0.852,1750943,10.00,12.70,0.765,0.949,0.880,0.734,0.567,0.894,0.959,0.943,0.883,0.801,0,205.00000,4376.00000,1208.00000,10486.00000,249,9,249,3,,,,,,,,,,,1752020.000,1967447.000,1798009.000,1709737.000,1732892.000,3383,2194,10413,1189,6009,16422,0,0,0,0,0,0,0,2210,1352,858,583052,982751,714570,1360065,968085,1720266,1292703,2102915,1661451,2577123,1226007,1836411,1456786,0.855,,1634698,Universidad
Salud,Terapia Ocupacional,0.496,0.719,1263707,10.00,11.50,0.371,0.621,0.566,0.495,0.430,0.669,0.779,0.761,0.744,0.688,0,213.00000,3688.00000,1134.00000,7637.00000,250,9,250,3,,,,,,,,,,,1252774.000,1344994.000,1289475.000,1255937.000,1210672.000,2773,2362,10940,411,1872,12812,0,0,0,0,0,0,0,2121,1840,281,552693,701885,635266,959274,782478,1283240,1006489,1575869,1279331,1933735,878860,1310769,1030200,0.841,,1150896,Universidad
Ciencias Sociales,Trabajo Social,0.669,0.784,1206925,9.80,11.30,0.608,0.643,0.694,0.672,0.641,0.744,0.776,0.800,0.785,0.775,0,291.00000,4215.00000,401.00000,6620.00000,251,5,251,3,,,,,,,,,,,1203284.000,1225442.000,1194053.000,1224877.000,1203414.000,2167,1710,10156,456,2547,12704,0,0,0,0,0,0,0,3162,2641,521,582623,725235,700252,942061,901861,1200360,1188982,1515169,1564484,1920029,1019931,1268800,1092737,0.823,,1150867,Universidad
Humanidades,Traducción e Interpretación,0.415,0.509,981268,9.00,12.40,0.296,0.330,0.448,0.411,0.388,0.368,0.435,0.492,0.542,0.485,0,57.00000,805.00000,264.00000,1968.00000,252,8,252,3,,,,,,,,,,,1053125.000,926093.000,937319.000,986552.000,1033383.000,588,418,2168,170,980,3148,0,0,0,0,0,0,0,283,192,91,555967,594495,607153,690304,722800,872549,965603,1103699,1331791,1494917,803174,985232,858314,0.817,,902136,Universidad
